"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания новой новости","13870","createNews","","2026-08-02","passed","2026-08-02","","ru.iteco.fmhandroid.test.NewsTest","ru.iteco.fmhandroid.test.NewsTest","createNews"
"Проверка удаления новости","13831","deleteNews","","2026-08-02","passed","2026-08-02","","ru.iteco.fmhandroid.test.NewsTest","ru.iteco.fmhandroid.test.NewsTest","deleteNews"
"Проверка открытия раздела 'Наша миссия' с тематическими цитатами","6877","openThematicQuotes","","2026-08-02","passed","2026-08-02","","ru.iteco.fmhandroid.test.OurMissionTest","ru.iteco.fmhandroid.test.OurMissionTest","openThematicQuotes"
"Проверка отображения ошибки при вводе неверного пароля","5950","authorizationWithInvalidPassword","","2026-08-02","passed","2026-08-02","","ru.iteco.fmhandroid.test.AuthorizationTest","ru.iteco.fmhandroid.test.AuthorizationTest","authorizationWithInvalidPassword"
"Проверка открытия раздела 'Новости'","7740","openNewsList","","2026-08-02","passed","2026-08-02","","ru.iteco.fmhandroid.test.NewsTest","ru.iteco.fmhandroid.test.NewsTest","openNewsList"
"Проверка открытия бокового меню и перехода в раздел 'Новости'","8177","sideMenuNavigation","","2026-08-02","passed","2026-08-02","","ru.iteco.fmhandroid.test.NavigationTest","ru.iteco.fmhandroid.test.NavigationTest","sideMenuNavigation"
"Проверка отображения ошибки при вводе неверного логина","6186","authorizationWithInvalidLogin","","2026-08-02","passed","2026-08-02","","ru.iteco.fmhandroid.test.AuthorizationTest","ru.iteco.fmhandroid.test.AuthorizationTest","authorizationWithInvalidLogin"
"Проверка успешного выхода пользователя из приложения","7800","logoutFromAccount","","2026-08-02","passed","2026-08-02","","ru.iteco.fmhandroid.test.AuthorizationTest","ru.iteco.fmhandroid.test.AuthorizationTest","logoutFromAccount"
"Проверка успешной авторизации с корректными учетными данными","7881","successfulAuthorization","","2026-08-02","passed","2026-08-02","","ru.iteco.fmhandroid.test.AuthorizationTest","ru.iteco.fmhandroid.test.AuthorizationTest","successfulAuthorization"
"Проверка отображения ошибки при авторизации с пустыми полями","5954","authorizationWithEmptyFields","","2026-08-02","passed","2026-08-02","","ru.iteco.fmhandroid.test.AuthorizationTest","ru.iteco.fmhandroid.test.AuthorizationTest","authorizationWithEmptyFields"
"Проверка раскрытия первой новости","8755","expandFirstNews","","2026-08-02","passed","2026-08-02","","ru.iteco.fmhandroid.test.NewsTest","ru.iteco.fmhandroid.test.NewsTest","expandFirstNews"
